inventory_id,date,store_id,product_id,expected_quantity,actual_quantity,unit_cost,discrepancy_quantity,discrepancy_value
INV00001,2026-08-28,S001,P101,54,52,2800,2,5600
INV00002,2026-08-28,S001,P102,63,63,1900,0,0
INV00003,2026-08-28,S001,P103,56,55,5100,1,5100
INV00004,2026-08-28,S001,P104,118,116,3600,2,7200
INV00005,2026-08-28,S001,P105,49,48,1600,1,1600
INV00006,2026-08-28,S001,P106,114,112,750,2,1500
INV00007,2026-08-28,S001,P107,103,101,1200,2,2400
INV00008,2026-08-28,S001,P108,50,50,2300,0,0
INV00009,2026-08-28,S001,P109,48,48,1800,0,0
INV00010,2026-08-28,S001,P110,103,102,950,1,950
INV00011,2026-08-28,S002,P101,64,63,2800,1,2800
INV00012,2026-08-28,S002,P102,63,63,1900,0,0
INV00013,2026-08-28,S002,P103,116,115,5100,1,5100
INV00014,2026-08-28,S002,P104,79,79,3600,0,0
INV00015,2026-08-28,S002,P105,92,90,1600,2,3200
INV00016,2026-08-28,S002,P106,54,53,750,1,750
INV00017,2026-08-28,S002,P107,56,56,1200,0,0
INV00018,2026-08-28,S002,P108,46,44,2300,2,4600
INV00019,2026-08-28,S002,P109,109,107,1800,2,3600
INV00020,2026-08-28,S002,P110,40,39,950,1,950
INV00021,2026-08-28,S003,P101,54,53,2800,1,2800
INV00022,2026-08-28,S003,P102,61,61,1900,0,0
INV00023,2026-08-28,S003,P103,60,58,5100,2,10200
INV00024,2026-08-28,S003,P104,68,68,3600,0,0
INV00025,2026-08-28,S003,P105,106,105,1600,1,1600
INV00026,2026-08-28,S003,P106,115,113,750,2,1500
INV00027,2026-08-28,S003,P107,70,69,1200,1,1200
INV00028,2026-08-28,S003,P108,91,89,2300,2,4600
INV00029,2026-08-28,S003,P109,69,69,1800,0,0
INV00030,2026-08-28,S003,P110,97,97,950,0,0
INV00031,2026-08-28,S004,P101,56,54,2800,2,5600
INV00032,2026-08-28,S004,P102,77,76,1900,1,1900
INV00033,2026-08-28,S004,P103,48,47,5100,1,5100
INV00034,2026-08-28,S004,P104,44,43,3600,1,3600
INV00035,2026-08-28,S004,P105,86,86,1600,0,0
INV00036,2026-08-28,S004,P106,104,103,750,1,750
INV00037,2026-08-28,S004,P107,79,79,1200,0,0
INV00038,2026-08-28,S004,P108,105,105,2300,0,0
INV00039,2026-08-28,S004,P109,89,89,1800,0,0
INV00040,2026-08-28,S004,P110,77,75,950,2,1900
INV00041,2026-08-28,S005,P101,66,65,2800,1,2800
INV00042,2026-08-28,S005,P102,107,105,1900,2,3800
INV00043,2026-08-28,S005,P103,82,81,5100,1,5100
INV00044,2026-08-28,S005,P104,58,57,3600,1,3600
INV00045,2026-08-28,S005,P105,60,60,1600,0,0
INV00046,2026-08-28,S005,P106,95,95,750,0,0
INV00047,2026-08-28,S005,P107,65,63,1200,2,2400
INV00048,2026-08-28,S005,P108,109,108,2300,1,2300
INV00049,2026-08-28,S005,P109,113,111,1800,2,3600
INV00050,2026-08-28,S005,P110,116,114,950,2,1900
INV00051,2026-08-28,S006,P101,112,112,2800,0,0
INV00052,2026-08-28,S006,P102,55,54,1900,1,1900
INV00053,2026-08-28,S006,P103,49,49,5100,0,0
INV00054,2026-08-28,S006,P104,105,103,3600,2,7200
INV00055,2026-08-28,S006,P105,115,113,1600,2,3200
INV00056,2026-08-28,S006,P106,52,50,750,2,1500
INV00057,2026-08-28,S006,P107,64,64,1200,0,0
INV00058,2026-08-28,S006,P108,116,114,2300,2,4600
INV00059,2026-08-28,S006,P109,86,86,1800,0,0
INV00060,2026-08-28,S006,P110,42,40,950,2,1900
INV00061,2026-08-28,S007,P101,92,91,2800,1,2800
INV00062,2026-08-28,S007,P102,71,70,1900,1,1900
INV00063,2026-08-28,S007,P103,99,98,5100,1,5100
INV00064,2026-08-28,S007,P104,47,45,3600,2,7200
INV00065,2026-08-28,S007,P105,113,113,1600,0,0
INV00066,2026-08-28,S007,P106,86,86,750,0,0
INV00067,2026-08-28,S007,P107,72,71,1200,1,1200
INV00068,2026-08-28,S007,P108,90,90,2300,0,0
INV00069,2026-08-28,S007,P109,103,101,1800,2,3600
INV00070,2026-08-28,S007,P110,65,63,950,2,1900
INV00071,2026-08-28,S008,P101,105,104,2800,1,2800
INV00072,2026-08-28,S008,P102,57,57,1900,0,0
INV00073,2026-08-28,S008,P103,76,76,5100,0,0
INV00074,2026-08-28,S008,P104,41,41,3600,0,0
INV00075,2026-08-28,S008,P105,70,68,1600,2,3200
INV00076,2026-08-28,S008,P106,86,84,750,2,1500
INV00077,2026-08-28,S008,P107,92,92,1200,0,0
INV00078,2026-08-28,S008,P108,40,40,2300,0,0
INV00079,2026-08-28,S008,P109,100,99,1800,1,1800
INV00080,2026-08-28,S008,P110,61,60,950,1,950
INV00081,2026-08-28,S009,P101,45,45,2800,0,0
INV00082,2026-08-28,S009,P102,40,40,1900,0,0
INV00083,2026-08-28,S009,P103,71,70,5100,1,5100
INV00084,2026-08-28,S009,P104,48,48,3600,0,0
INV00085,2026-08-28,S009,P105,110,110,1600,0,0
INV00086,2026-08-28,S009,P106,106,105,750,1,750
INV00087,2026-08-28,S009,P107,64,64,1200,0,0
INV00088,2026-08-28,S009,P108,77,75,2300,2,4600
INV00089,2026-08-28,S009,P109,105,104,1800,1,1800
INV00090,2026-08-28,S009,P110,60,58,950,2,1900
INV00091,2026-08-28,S010,P101,63,62,2800,1,2800
INV00092,2026-08-28,S010,P102,59,57,1900,2,3800
INV00093,2026-08-28,S010,P103,114,113,5100,1,5100
INV00094,2026-08-28,S010,P104,102,102,3600,0,0
INV00095,2026-08-28,S010,P105,50,49,1600,1,1600
INV00096,2026-08-28,S010,P106,83,83,750,0,0
INV00097,2026-08-28,S010,P107,88,87,1200,1,1200
INV00098,2026-08-28,S010,P108,65,64,2300,1,2300
INV00099,2026-08-28,S010,P109,60,59,1800,1,1800
INV00100,2026-08-28,S010,P110,116,114,950,2,1900
INV00101,2026-08-28,S011,P101,50,50,2800,0,0
INV00102,2026-08-28,S011,P102,41,40,1900,1,1900
INV00103,2026-08-28,S011,P103,99,98,5100,1,5100
INV00104,2026-08-28,S011,P104,58,57,3600,1,3600
INV00105,2026-08-28,S011,P105,53,52,1600,1,1600
INV00106,2026-08-28,S011,P106,48,48,750,0,0
INV00107,2026-08-28,S011,P107,87,86,1200,1,1200
INV00108,2026-08-28,S011,P108,50,49,2300,1,2300
INV00109,2026-08-28,S011,P109,94,94,1800,0,0
INV00110,2026-08-28,S011,P110,44,44,950,0,0
INV00111,2026-08-28,S012,P101,96,85,2800,11,30800
INV00112,2026-08-28,S012,P102,70,59,1900,11,20900
INV00113,2026-08-28,S012,P103,65,48,5100,17,86700
INV00114,2026-08-28,S012,P104,85,68,3600,17,61200
INV00115,2026-08-28,S012,P105,48,34,1600,14,22400
INV00116,2026-08-28,S012,P106,69,61,750,8,6000
INV00117,2026-08-28,S012,P107,119,111,1200,8,9600
INV00118,2026-08-28,S012,P108,102,90,2300,12,27600
INV00119,2026-08-28,S012,P109,40,28,1800,12,21600
INV00120,2026-08-28,S012,P110,65,54,950,11,10450
