transaction_id,date,store_id,product_id,transaction_type,amount,quantity,employee_id,customer_id
T00001,2026-08-22,S003,P101,VOID,4999,1,E001,C0056
T00002,2026-08-02,S008,P109,SALE,3299,1,E001,C0036
T00003,2026-08-27,S005,P110,DISCOUNT,1599,1,E004,C0161
T00004,2026-08-03,S009,P105,SALE,2999,1,E001,C0120
T00005,2026-08-20,S001,P109,VOID,3299,1,E004,C0082
T00006,2026-08-21,S003,P102,RETURN,3499,1,E002,C0154
T00007,2026-08-23,S009,P109,VOID,3299,1,E002,C0037
T00008,2026-08-08,S012,P102,SALE,3499,1,E006,C0067
T00009,2026-08-24,S008,P105,RETURN,2999,1,E002,C0108
T00010,2026-08-05,S004,P101,DISCOUNT,3999,1,E005,C0029
T00011,2026-08-05,S008,P106,SALE,1499,1,E002,C0070
T00012,2026-08-28,S009,P107,SALE,2299,1,E005,C0052
T00013,2026-08-14,S012,P107,RETURN,2299,1,E001,C0101
T00014,2026-08-26,S010,P110,VOID,1999,1,E006,C0143
T00015,2026-08-18,S008,P105,SALE,2999,1,E006,C0106
T00016,2026-08-08,S007,P103,SALE,7999,1,E002,C0159
T00017,2026-08-11,S009,P109,REFUND,3299,1,E003,C0194
T00018,2026-08-11,S009,P101,RETURN,4999,1,E004,C0072
T00019,2026-08-19,S011,P106,SALE,1499,1,E004,C0040
T00020,2026-08-08,S007,P102,DISCOUNT,2799,1,E004,C0013
T00021,2026-07-31,S009,P103,SALE,7999,1,E004,C0198
T00022,2026-08-15,S001,P107,SALE,2299,1,E001,C0105
T00023,2026-08-25,S002,P107,SALE,2299,1,E002,C0018
T00024,2026-08-19,S010,P110,SALE,1999,1,E004,C0103
T00025,2026-08-26,S012,P105,REFUND,2999,1,E002,C0131
T00026,2026-08-21,S004,P101,SALE,4999,1,E001,C0002
T00027,2026-08-27,S001,P110,SALE,1999,1,E004,C0135
T00028,2026-08-05,S006,P107,SALE,2299,1,E002,C0127
T00029,2026-08-08,S012,P101,VOID,4999,1,E004,C0197
T00030,2026-08-19,S005,P109,SALE,3299,1,E002,C0124
T00031,2026-08-07,S012,P101,RETURN,4999,1,E002,C0161
T00032,2026-08-24,S010,P102,SALE,3499,1,E005,C0114
T00033,2026-08-12,S003,P110,SALE,1999,1,E006,C0150
T00034,2026-08-23,S009,P101,RETURN,4999,1,E001,C0131
T00035,2026-08-02,S008,P106,SALE,1499,1,E005,C0129
